City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
172,Tabou,CI,4.423,-7.3528,73.89,77,100,5.35,overcast clouds
173,Tebingtinggi,ID,3.3285,99.1625,76.68,84,100,3.24,overcast clouds
174,Saint-Philippe,RE,-21.3585,55.7679,64.22,79,36,6.06,scattered clouds
175,Butaritari,KI,3.0707,172.7902,82.53,71,17,21.54,few clouds
176,Yerbogachen,RU,61.2767,108.0108,73.2,59,27,1.63,scattered clouds
177,Namibe,AO,-15.1961,12.1522,63.45,86,0,5.21,clear sky
178,Sechura,PE,-5.5569,-80.8222,65.05,86,52,14.41,broken clouds
179,Sur,OM,22.5667,59.5289,86.79,66,100,9.8,overcast clouds
180,Benguela,AO,-12.5763,13.4055,68.94,88,83,3.78,broken clouds
181,Mar Del Plata,AR,-38.0023,-57.5575,51.1,98,100,9.22,mist
182,Rosetta,EG,31.4044,30.4164,77.02,81,0,9.95,clear sky
183,Port Hedland,AU,-20.3167,118.5667,69.85,32,0,21.85,clear sky
184,Pevek,RU,69.7008,170.3133,35.91,88,90,2.89,overcast clouds
185,Kirakira,SB,-10.4544,161.9205,85.95,62,9,8.84,clear sky
186,Mahenge,TZ,-8.6833,36.7167,58.15,74,22,2.48,few clouds
187,Nantucket,US,41.2835,-70.0995,80.71,97,100,14.97,mist
188,Wajir,KE,1.7471,40.0573,71.13,77,56,12.75,broken clouds
189,Pedro Juan Caballero,PY,-22.5472,-55.7333,70.56,46,82,8.57,broken clouds
190,Isangel,VU,-19.55,169.2667,84.31,79,75,4.61,broken clouds
191,Miraflores,MX,19.2167,-98.8083,61.97,82,97,2.86,overcast clouds
192,Svetlogorsk,BY,52.6333,29.7333,56.23,98,8,7.02,clear sky
193,Balkhash,KZ,46.844,74.9804,66.81,37,0,15.66,clear sky
194,Namanga,KE,-2.5433,36.7905,55.65,85,16,1.77,few clouds
195,Olinda,BR,-8.0089,-34.8553,73.13,78,20,6.91,few clouds
196,Ust-Ishim,RU,57.6935,71.1665,57.81,77,83,3.89,broken clouds
197,Touros,BR,-5.1989,-35.4608,74.48,72,53,17.92,broken clouds
198,Zaqatala,AZ,41.6336,46.6433,63.07,82,40,4.61,scattered clouds
199,Victoria,HK,22.2855,114.1577,93.25,75,15,5.99,few clouds
200,San Bartolome,ES,27.9248,-15.5733,68.47,77,0,16.11,clear sky
201,Kendari,ID,-3.945,122.4989,80.06,66,26,2.46,scattered clouds
202,Vardo,NO,70.3705,31.1107,44.58,93,20,5.75,few clouds
203,Chokurdakh,RU,70.6333,147.9167,69.31,34,40,11.3,scattered clouds
204,Hay River,CA,60.8156,-115.7999,66.18,59,12,11.5,few clouds
