City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
316,Bua Yai,TH,84.85,few clouds,15.5855,102.4259,Rabiang Mai Resort
319,Nador,MA,77.25,clear sky,35.174,-2.9287,Hôtel La Giralda
320,Pochutla,MX,75.81,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
323,Jerantut,MY,80.15,overcast clouds,3.936,102.3626,Jerantut Hill Resort
325,Boa Vista,BR,80.58,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
330,Hatillo,PR,81.79,clear sky,18.4863,-66.8254,El Buen Hotel
332,Singureni,RO,77.09,light rain,44.2336,25.9433,BFY Cetatea
335,Cayenne,GF,83.08,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
337,Along,IN,78.44,broken clouds,28.1667,94.7667,Hotel West
342,Hirado,JP,79.05,clear sky,33.3597,129.5531,Samson Hotel
350,Ixtapa,MX,79.23,broken clouds,20.7,-105.2,hotel la terminal
351,Hamilton,US,83.08,moderate rain,39.1834,-84.5333,Six Acres Bed & Breakfast
352,Gorontalo,ID,84.92,scattered clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
356,Glendive,US,82.02,clear sky,47.1053,-104.7125,Super 8 by Wyndham Glendive
360,Fare,PF,78.15,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
364,Wanning,CN,86.68,few clouds,18.8003,110.3967,Paradise Hotel
365,Jacqueville,CI,76.19,broken clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
366,Deming,US,80.49,scattered clouds,32.2687,-107.7586,Best Western Deming Southwest Inn
367,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
370,Presidencia Roque Saenz Pena,AR,80.64,overcast clouds,-26.7852,-60.4388,Hotel Gualok
371,Ende,ID,78.94,broken clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
375,Bosaso,SO,87.44,overcast clouds,11.2842,49.1816,Red Sea Hotel
380,Bengkulu,ID,78.93,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
381,Umm Lajj,SA,82.2,overcast clouds,25.0213,37.2685,Moon light Furnished Units
383,San Patricio,US,87.84,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
384,Yarmouth,US,80.71,mist,41.7057,-70.2286,Blue Rock Resort
387,San Policarpo,PH,83.37,broken clouds,12.1791,125.5072,Agapita M. Nicart
389,Daru,PG,78.31,overcast clouds,-9.0763,143.2092,Daru Lodge
391,Ponta Delgada,PT,76.5,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
398,Batticaloa,LK,81.32,overcast clouds,7.7102,81.6924,Grand Star Guest House
400,Mersing,MY,78.71,scattered clouds,2.4312,103.8405,Timotel Hotel
414,Lufilufi,WS,78.58,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
421,Marawi,PH,80.49,broken clouds,7.9986,124.2928,Derogongan Residence
422,La Asuncion,VE,80.33,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
423,Katherine,AU,80.92,clear sky,-14.4667,132.2667,Pine Tree Motel
425,Ciro Marina,IT,81.68,clear sky,39.3732,17.126,Hotel Miramare
